Spotify,Band → ID
https://open.spotify.com/artist/7zkRmTrjy4T2Z5YoupQ5O3,1044
https://open.spotify.com/artist/3QZiTNw7pB5HDs0rNTnPr0?si=Jdrr1maxQPi8OokI5JFwJA,1048
https://open.spotify.com/artist/5eq5UklfQyQTs2RIFfJLXA?si=g_oXs62VS3iNQN7vhgnn4g,1038
https://open.spotify.com/artist/3kSr6m24JBuPlfyngKn6Vc?si=5QtqqHrxQZmMLDO86Y-p2A,1085
https://open.spotify.com/artist/0fE6suu8kM7L5snuWxgDlC,877
https://open.spotify.com/artist/7LQx6nDoNWEbG6HN6fJhg3,1125
https://open.spotify.com/artist/0DQx7HJhLzjbSQNsNhrpLT,1141
https://open.spotify.com/artist/5nyBTw1YmtNAFVTUNOuV4M?si=-QoMissAQlWIgSb9p8bgng,1103
https://open.spotify.com/artist/5j6smknZjaTDZOM5mYXLot?si=EnhwlQoWTWGZhYqhqTeBww,1132
https://open.spotify.com/album/6b3Nq2YXX9Dyj7pQOYMugB,1130
https://open.spotify.com/artist/4tec9sKA4PuHthH8AO7g2e,1108
https://open.spotify.com/artist/6kTiEgmDRstcBJImtUtSZB,12017
https://open.spotify.com/artist/1KuouIxys12jcllGnkqlie,1104
https://open.spotify.com/artist/32SV3AwCB3hOKtJirCULFa,1119
https://open.spotify.com/album/2lbw2bP1Bxv3AW9Pz0H9Mq,1033
https://open.spotify.com/artist/6DSAdTqe9hJeSrWT2b7M7O?si=Zf6bki7-T4OALID27IEzwg,822
https://open.spotify.com/artist/1guan4auxcoxdTKIYbFUPn,1163
https://open.spotify.com/artist/49Ypkl4ltiWhxXcLILO8W1,1148
https://open.spotify.com/track/5P3dlF8PAIRL7cch0jPxjM,1160
https://open.spotify.com/artist/0Yhj9gO11GdgwOFlZ7ds6L?si=4ZRTFQ0YTtisGI3te_diog,9093
https://open.spotify.com/artist/7kZSpFLcJ6apTZPwwiVQSz,456
https://open.spotify.com/artist/0vE2RpoWvzAeu9gbtvLvCU?si=IzKnR2vlScu40fdXSnnO5w,1175
https://open.spotify.com/artist/1WJOUet0FsExAthFGFTfa1,1158
https://open.spotify.com/artist/3O3ivDvwNrLUFeNoYjeXP5,1166
https://open.spotify.com/artist/2WWgklWGt5VH5gP6dB2znH?si=vNCo4G_ISb26iMKF07LnJw,1080
https://open.spotify.com/artist/7n8G11J7VSWinRLyplaLGD,1171
https://open.spotify.com/artist/6oI3LzdvfwdTf8IwvxqgCX,1194
https://open.spotify.com/album/6FKDIHvNEl8LNHuzbVBIJg,1181
https://open.spotify.com/artist/1VM1Ny9NcCvvhGm3P1Qq4i?si=tYUQWDSHT7GI8bO21QbyPw,1011
https://open.spotify.com/artist/0Zl626Ir5Kr01KWr5OQzRH,1186
https://open.spotify.com/artist/4NgfGFrSUg5P1WjGvi8DL0,1195
https://open.spotify.com/artist/6G1uv7I0HWcm4zwiPzESfU,1187
https://open.spotify.com/artist/01R3mOgZZfPuuLlarWLa9F?si=TroECv3hQ0GjnWlCy8nTnw,2462
https://open.spotify.com/artist/6ZWp6I1y9mfFTeh5drKRO8?si=FvMsGYiJTu-CUimooy_sHw,1221
https://open.spotify.com/artist/4L8SveKgOEhTLaX0U8QI6K,1201
https://open.spotify.com/artist/6yZgBJTTvx4H5YRNfUfdGm,696
https://open.spotify.com/artist/2cTsu5cyrvQ7DOsxcak5uY?si=toysuVNTT_6IgaIaRs_13Q,6349
https://open.spotify.com/artist/7tLuBBQbs9KVwn90vKIZKu?si=JsYqbXKjTUW942zwiMHKxg,1209
https://open.spotify.com/track/1dIb2hzVWiN0QopZ2KyEBW?si=MfRQ5cPlS7u1gr_YIn2qDQ,1208
https://open.spotify.com/artist/1tAtewlyJQ3CqxJuIo6blw?si=95f0DU18RUGkvo3WMuncPg,11643
https://open.spotify.com/track/2zgKgiAeq5toKiQ4smORI9,1229
https://open.spotify.com/artist/1X1UnBTgjMjX16zmlavczO?si=u3DVCD2uSCewye7cm4_8Mg,6230
